Error Code,Error Description
8787,Receiver Noise Figure is required.
8788,One (and only one) Equipment Class must be selected
8789,Maximum EIRP for governmental entities is 44.8. ?All other licensees should have an edit for maximum EIRP of 33.
8790,"MM radio services require entry of a specific frequency and emission bandwidth combination that fall within the ranges of 71,000-76,000, 81,000-86,000, 92,000-94,000, 94,100-95,000 MHz."
8791,Entry of at least one channel is required.
8792,An Answer to the Emergency STA question is required.
8793,Type of Radio Service must equal Fixed for MM/IQ/QQ Radio Services.
8794,The Emergency STA question must be answered as N for non-STA applications
8795,Transmitter Stability is required and must be expressed as a percentage.
8796,Station Class for MM services must be FXO.
8797,Station Class for IQ/QQ services must be FB.
8798,EIRP entered exceeds the amount possible with the transmitter output power and antenna gain provided.
8799,Verify that EIRP entered reflects the EIRP based on the maximum transmitter output power.  The EIRP entered appears to be too low based on the entered maximum transmitter output power and transmit antenna gain.
8800,Transmit and Receive azimuth should be approximately 180 degrees apart.
8801,The NTIA Question must be answered 'Yes' as all links require coordination with NTIA during the interim process.
8802,Antenna Center Line is required and must be between 0.0 and +15.0 (meters).
8803,Antenna gain is required and must be between 0 and 50 (dB).
8804,TX loc: Filing with FCC for link registration is only required if Canada/Mexico/IRAC (NTIA yellow light)/Quiet Zone/NEPA or waiver is required; otherwise submit to Database Manager (See DA05-311). If filing waiver submit by choosing 'continue with errors'
8900,"At least one component has been deleted from this call sign, you will need to delete this application and refile."
8901,"At least one component has been deleted from the call sign, you will need to delete this call sign from your application before submitting."
8902,All selected components have been deleted from the call signs. You will need to either delete the call signs from this application or delete this application and refile.
9000,Insufficient First Down Payment.
9500,New operator class code not greater than current operator class code.
9505,Applicant already has one Amateur license.
9510,Application already exists.
9515,Invalid Licensee ID.
9520,File number does not exist in ULS.
9525,File number does not belong to this applicant.
9530,File format is invalid and cannot be processed.
9535,Attachment file not received.
9540,Tin/FRN or Licensee ID not provided.
9545,Call Sign found for Tin/FRN but a different SGIN.
9550,License is not active.
9555,Invalid application purpose code.
9560,Invalid operator class code.
9565,DB Error prevented processing:  Contact Technical Support 202-414-1250.
9570,Call Sign registered to Tin/FRN but SGIN is different.
9575,Call Sign registered to different Tin/FRN.
9580,File Number registered to Tin/FRN but SGIN is different.
9585,File Number registered to different Tin/FRN.
9590,File Number is not active.
9595,Record Type AS - associated call sign is not active or is invalid
9600,Operator class code missing.
9605,Trustee call sign invalid.
9610,Application must have valid signature.
9615,File number cannot be specified for new application.
9620,Call sign cannot be specified for new application.
9625,Call sign must be specified for application.
9630,File number must be specified for application.
9635,New operator class must be higher than current class.
9640,"MAS Sub-types of Operation FT, FO, and FI are not permitted to be on the same license."
9645,Operator class code cannot be filed if the purpose is Administrative Update (AU)
9650,Attachments cannot be filed with Administrative Update (AU)
9655,Waivers cannot be filed with Administrative Update (AU)
9660,Physicians certification cannot be filed if the purpose is Administrative Update (AU)
9665,Systematic call sign change request cannot be filed if the purpose is Administrative Update (AU)
9670,Trustee call sign cannot be filed if the purpose is Administrative Update (AU)
9675,"Application rejected because license is expired, canceled or terminated"
9680,Requested Expiration Date cannot be filed with Administrative Update (AU)
9685,Trustee call sign not found
9690,Trustee call sign does not belong to an individual
9695,"Trustee call sign is expired, canceled or terminated"
9700,Trustee call sign is required
9705,"Applicant type must be C, M and R"
9710,"Individual name is invalid for Club, RACES or Military Rec"
9715,"Physician certification is invalid for Club, RACES or Military Rec"
9720,Systematic call sign change is invalid for RACES
9725,Only Clubs may specify trustee call sign
9729,The GMRS Radio Service allows Individual Applicant Type only.
9730,Trustee operator class must be higher than Novice.
9735,Invalid assigned Tin/FRN.
9740,Untimely renewal
9745,The FCC is not accepting applications for new RACES call signs.
9750,Invalid format for EBF file. ULS did not process
9755,Invalid record format. ULS did not process
9760,Application record(s) out of order. ULS did not process
9765,Application record(s) missing or invalid. ULS did not process
9770,Attachment file missing. ULS did not process
9775,Invalid date format
9780,TIN must be 9 characters in length
9785,"Modifications, Administrative Updates, and Duplicate License requests cannot be filed during the 2-year grace period."
9790,NO pending or return application for file number
9795,"The FCC is no longer issuing new call signs or upgrades for Novice, Technician Plus, and Advanced operator classes.."
9800,Invalid VEC/COLEM code on VE/CE record
9805,Pack registration has wrong TIN/SGIN
9810,Frequency coordination number invalid for this application
9815,Invalid location number
9820,The FCC is no longer renewing RACES call signs.
9825,File cannot be amended because it is passed the filing window
9830,Invalid Radio Service Code
9835,Applicant name does not match the name on the license for this call sign.
9840,Number of applicants tested in VE record must be an integer or null
9845,Number of applicants that passed in VE record must be an integer or null
9850,Number of applicants that failed in VE record must be an integer or null
9855,Number of elements passed in VE record must be an integer or null
9860,Number of elements failed in VE record must be an integer or null
9865,Invalid first name
